"trial_type","trial_index","time_elapsed","internal_node_id","screen_height","screen_width","browser","browser_version","mobile","os","vsync_rate","participant_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","fullscreen","webcam","microphone","screen","version","date","time","rt","stimulus","response","question_order","trial_duration","trial_number"
"image-keyboard-response","230","3533769","0.0-25.0-1.68","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1057.jpg","null","","500","69"
"multiple-slider","231","3558361","0.0-25.0-2.68","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","24582","","{""perceived_realness"":58,""Attractiveness"":39,""Approachability"":78,""Trustworthiness"":64,""Familiarity"":34,""Similarity"":10}","[0,1,2,3,4,5]","",""
"html-keyboard-response","232","3559356","0.0-25.0-0.69","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","982",""
"image-keyboard-response","233","3559869","0.0-25.0-1.69","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1022.jpg","null","","500","70"
"multiple-slider","234","3572533","0.0-25.0-2.69","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","12607.399999976158","","{""perceived_realness"":97,""Attractiveness"":62,""Approachability"":86,""Trustworthiness"":83,""Familiarity"":58,""Similarity"":40}","[0,1,2,3,4,5]","",""
"html-keyboard-response","235","3573339","0.0-25.0-0.70","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","793",""
"image-keyboard-response","236","3573851","0.0-25.0-1.70","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1073.jpg","null","","500","71"
"multiple-slider","237","3590567","0.0-25.0-2.70","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","16665.299999952316","","{""perceived_realness"":58,""Attractiveness"":62,""Approachability"":83,""Trustworthiness"":72,""Familiarity"":57,""Similarity"":17}","[0,1,2,3,4,5]","",""
"html-keyboard-response","238","3591109","0.0-25.0-0.71","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","529",""
"image-keyboard-response","239","3591621","0.0-25.0-1.71","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NM-1007.jpg","null","","500","72"
"multiple-slider","240","3611707","0.0-25.0-2.71","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","20069.799999952316","","{""perceived_realness"":96,""Attractiveness"":64,""Approachability"":81,""Trustworthiness"":73,""Familiarity"":91,""Similarity"":42}","[0,1,2,3,4,5]","",""
"html-keyboard-response","241","3612559","0.0-25.0-0.72","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","838",""
"image-keyboard-response","242","3613072","0.0-25.0-1.72","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1082.jpg","null","","500","73"
"multiple-slider","243","3630006","0.0-25.0-2.72","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","16915.600000023842","","{""perceived_realness"":38,""Attractiveness"":70,""Approachability"":83,""Trustworthiness"":73,""Familiarity"":80,""Similarity"":29}","[0,1,2,3,4,5]","",""
"html-keyboard-response","244","3630683","0.0-25.0-0.73","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","667",""
"image-keyboard-response","245","3631195","0.0-25.0-1.73","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NM-1052.jpg","null","","500","74"
"multiple-slider","246","3649527","0.0-25.0-2.73","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","18281.099999964237","","{""perceived_realness"":64,""Attractiveness"":58,""Approachability"":82,""Trustworthiness"":75,""Familiarity"":58,""Similarity"":33}","[0,1,2,3,4,5]","",""
"html-keyboard-response","247","3650388","0.0-25.0-0.74","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","854",""
"image-keyboard-response","248","3650904","0.0-25.0-1.74","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1063.jpg","null","","500","75"
"multiple-slider","249","3667276","0.0-25.0-2.74","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","16366.099999964237","","{""perceived_realness"":65,""Attractiveness"":84,""Approachability"":80,""Trustworthiness"":74,""Familiarity"":60,""Similarity"":32}","[0,1,2,3,4,5]","",""
